resolution,method,time
100,mandelbrot_paralell,2.4957032203674316
100,mandelbrot_numba,0.30101513862609863
100,mandelbrot_opencl,0.004042863845825195
200,mandelbrot_paralell,3.022376775741577
200,mandelbrot_numba,0.0045146942138671875
200,mandelbrot_opencl,0.004575014114379883
500,mandelbrot_paralell,3.1111443042755127
500,mandelbrot_numba,0.02698683738708496
500,mandelbrot_opencl,0.007086038589477539
1000,mandelbrot_paralell,3.6822457313537598
1000,mandelbrot_numba,0.16097283363342285
1000,mandelbrot_opencl,0.02022719383239746
2000,mandelbrot_paralell,4.023330926895142
2000,mandelbrot_numba,0.5059759616851807
2000,mandelbrot_opencl,0.04424118995666504
3000,mandelbrot_paralell,3.700295925140381
3000,mandelbrot_numba,0.8862347602844238
3000,mandelbrot_opencl,0.09283018112182617
4000,mandelbrot_paralell,4.021543264389038
4000,mandelbrot_numba,1.5705060958862305
4000,mandelbrot_opencl,0.1480090618133545
5000,mandelbrot_paralell,4.421365976333618
5000,mandelbrot_numba,2.383953809738159
5000,mandelbrot_opencl,0.28290700912475586
6000,mandelbrot_paralell,4.441374063491821
6000,mandelbrot_numba,3.443791151046753
6000,mandelbrot_opencl,0.36609792709350586
7000,mandelbrot_paralell,4.719019889831543
7000,mandelbrot_numba,4.639738082885742
7000,mandelbrot_opencl,0.5036680698394775
8000,mandelbrot_paralell,5.318609714508057
8000,mandelbrot_numba,6.0674052238464355
8000,mandelbrot_opencl,0.7789289951324463
9000,mandelbrot_paralell,6.575770139694214
9000,mandelbrot_numba,7.712051868438721
9000,mandelbrot_opencl,0.931359052658081
10000,mandelbrot_paralell,6.642102003097534
10000,mandelbrot_numba,9.541032075881958
10000,mandelbrot_opencl,1.752302885055542
